Sequence_ID,Binding_Score_Sum,Isolated_Id,Strain,Subtype,Collection_Date
A_AShanxi-Taiyuan_010_2023|EPI_ISL_19143490|A_/_H1N1|2023-01-04,2,EPI_ISL_19143490,A_AShanxi-Taiyuan_010_2023,A_/_H1N1,2023-01-04
A_Anhui-Bangshan_SWL1224_2019|EPI_ISL_367228|A_/_H1N1|2019-03-05,0,EPI_ISL_367228,A_Anhui-Bangshan_SWL1224_2019,A_/_H1N1,2019-03-05
A_Anhui-Baohe_SWL131_2010|EPI_ISL_75079|A_/_H1N1|2010-01-13,0,EPI_ISL_75079,A_Anhui-Baohe_SWL131_2010,A_/_H1N1,2010-01-13
A_Anhui-Baohe_SWL137_2010|EPI_ISL_74907|A_/_H1N1|2010-01-14,0,EPI_ISL_74907,A_Anhui-Baohe_SWL137_2010,A_/_H1N1,2010-01-14
A_Anhui-Baohe_SWL156_2010|EPI_ISL_74940|A_/_H1N1|2010-01-20,0,EPI_ISL_74940,A_Anhui-Baohe_SWL156_2010,A_/_H1N1,2010-01-20
A_Anhui-Baohe_SWL167_2016|EPI_ISL_223375|A_/_H1N1|2016-01-21,0,EPI_ISL_223375,A_Anhui-Baohe_SWL167_2016,A_/_H1N1,2016-01-21
A_Anhui-Chaohu_SWL2637_2024|EPI_ISL_19599460|A_/_H1N1|2024-09-25,2,EPI_ISL_19599460,A_Anhui-Chaohu_SWL2637_2024,A_/_H1N1,2024-09-25
A_Anhui-Dangtu_SWL11005_2019|EPI_ISL_402335|A_/_H1N1|2019-09-05,0,EPI_ISL_402335,A_Anhui-Dangtu_SWL11005_2019,A_/_H1N1,2019-09-05
A_Anhui-Dangtu_SWL11089_2024|EPI_ISL_19675088|A_/_H1N1|2024-11-11,2,EPI_ISL_19675088,A_Anhui-Dangtu_SWL11089_2024,A_/_H1N1,2024-11-11
A_Anhui-Guichi_SWL1776_2023|EPI_ISL_18068815|A_/_H1N1|2023-04-12,2,EPI_ISL_18068815,A_Anhui-Guichi_SWL1776_2023,A_/_H1N1,2023-04-12
